央视高清,#genre#
CCTV-1高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225621/10000100000000060000000000009742_0.smil
CCTV-2高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225622/10000100000000060000000000009740_0.smil
CCTV-3高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225846/10000100000000060000000000154432_0.smil
CCTV-4高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226537/184048377.smil
CCTV-5高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225840/10000100000000060000000000154411_0.smil
CCTV-6高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225841/10000100000000060000000000154410_0.smil
CCTV-7高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225624/10000100000000060000000000009735_0.smil
CCTV-8高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225842/10000100000000060000000000154409_0.smil
CCTV-9高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225625/10000100000000060000000000009739_0.smil
CCTV-10高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225626/10000100000000060000000000009738_0.smil
CCTV-11高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226437/10000100000000060000000002779152_0.smil
CCTV-12高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225627/10000100000000060000000000009737_0.smil
CCTV-13高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226521/10000100000000060000000004577862_0.smil
CCTV-14高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225628/10000100000000060000000000009736_0.smil
CCTV-15高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226463/10000100000000060000000002779151_0.smil
CCTV-17高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226451/10000100000000060000000002754622_0.smil
CCTV-5＋高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225623/10000100000000060000000000009741_0.smil

CCTV4欧洲,rtsp://10.254.216.130/PLTV/88888888/224/3221226603/186802328.smil
CCTV4美洲,rtsp://10.254.216.130/PLTV/88888888/224/3221226584/186798824.smil
CGTN英语,rtsp://10.254.216.130/PLTV/88888888/224/3221226577/186798828.smil
CGTN英文纪录,rtsp://10.254.216.130/PLTV/88888888/224/3221226608/186802952.smil
CGTN西班牙语,rtsp://10.254.216.130/PLTV/88888888/224/3221226565/186798818.smil
CGTN法语,rtsp://10.254.216.130/PLTV/88888888/224/3221226560/186802324.smil
CGTN阿拉伯语,rtsp://10.254.216.130/PLTV/88888888/224/3221226570/186798817.smil
CGTN俄语,rtsp://10.254.216.130/PLTV/88888888/224/3221226613/186802948.smil



卫视高清,#genre#
河南卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226484/10000100000000060000000002806582_0.smil
湖南卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225630/10000100000000060000000000009766_0.smil
江苏卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225631/10000100000000060000000000009763_0.smil
浙江卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225632/10000100000000060000000000009761_0.smil
北京卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225629/10000100000000060000000000009767_0.smil
东方卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225633/10000100000000060000000000009762_0.smil
天津卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225634/10000100000000060000000000009760_0.smil
山东卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225636/10000100000000060000000000009758_0.smil
广东卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225907/10000100000000060000000000273215_0.smil
安徽卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225645/10000100000000060000000000009757_0.smil
深圳卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225640/10000100000000060000000000009764_0.smil
江西卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226534/10000100000000060000000004577301_0.smil
湖北卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225638/10000100000000060000000000009759_0.smil
四川卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226487/10000100000000060000000004577300_0.smil
辽宁卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225908/10000100000000060000000000273214_0.smil
黑龙江卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225643/10000100000000060000000000009765_0.smil
吉林卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226502/10000100000000060000000004577295_0.smil
云南卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226492/10000100000000060000000004577299_0.smil
贵州卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226516/10000100000000060000000004577298_0.smil
东南卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226483/10000100000000060000000002828395_0.smil
重庆卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226539/10000100000000060000000004577297_0.smil
河北卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226497/10000100000000060000000004577296_0.smil
广西卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225655/10000100000000060000000000009790_0.smil
海南卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225648/10000100000000060000000000009789_0.smil
山西卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225666/10000100000000060000000000009778_0.smil
陕西卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225667/10000100000000060000000000009788_0.smil
甘肃卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225671/10000100000000060000000000009783_0.smil
宁夏卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225673/10000100000000060000000000009792_0.smil
青海卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225674/10000100000000060000000000009781_0.smil
内蒙古卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225676/10000100000000060000000000009779_0.smil
西藏卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225677/10000100000000060000000000009777_0.smil
新疆卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225679/10000100000000060000000000009780_0.smil
海南卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221226485/10000100000000060000000004577294_0.smil
三沙卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221226464/10000100000000060000000002828394_0.smil
厦门卫视,rtsp://10.254.216.130/PLTV/88888888/224/3221225678/10000100000000060000000000009830_0.smil


本省高清,#genre#
河南卫视高清,rtsp://10.254.216.130/PLTV/88888888/224/3221225819/10000100000000060000000000154392_0.smil
河南都市频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225836/10000100000000060000000000154415_0.smil
河南民生频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225838/10000100000000060000000000154414_0.smil
河南法治频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225818/10000100000000060000000000154393_0.smil
河南电视剧频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225837/10000100000000060000000000154413_0.smil
河南新闻频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225817/10000100000000060000000000154394_0.smil
河南公共频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225824/10000100000000060000000000154387_0.smil
河南乡村频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225816/10000100000000060000000000154395_0.smil
河南国际频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225823/10000100000000060000000000154388_0.smil
河南文物宝库,rtsp://10.254.216.130/PLTV/88888888/224/3221225821/10000100000000060000000000154390_0.smil
河南梨园频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225822/10000100000000060000000000154389_0.smil
郑州新闻综合,rtsp://10.254.216.130/PLTV/88888888/224/3221225828/10000100000000060000000000154403_0.smil
郑州商都频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225827/10000100000000060000000000154404_0.smil
郑州文体频道,rtsp://10.254.216.130/PLTV/88888888/224/3221225826/10000100000000060000000000154405_0.smil
郑州影视戏曲,rtsp://10.254.216.130/PLTV/88888888/224/3221225832/10000100000000060000000000154399_0.smil
郑州妇女儿童,rtsp://10.254.216.130/PLTV/88888888/224/3221225831/10000100000000060000000000154400_0.smil
